(CET) 26/03/2023 01:24:30 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:24:30 | 1008145667622969397 | queue_command_def -> ['two steps from hell star sky', None, True, False, False]
(CET) 26/03/2023 01:24:31 | 1008145667622969397 | search_command_def -> ['two steps from hell star sky', 'short', False, False]
(CET) 26/03/2023 01:24:34 | all | Updated guilds.json
(CET) 26/03/2023 01:24:34 | all | Updated guilds.json
(CET) 26/03/2023 01:25:38 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:25:38 | no guild | Loaded radio.json
(CET) 26/03/2023 01:25:38 | no guild | Loaded languages.json
(CET) 26/03/2023 01:25:38 | no guild | Loaded other.json
(CET) 26/03/2023 01:25:38 | no guild | Bot class initialized
(CET) 26/03/2023 01:25:38 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:25:38 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:25:41 | no guild | Trying to sync commands
(CET) 26/03/2023 01:25:41 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:25:41 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:25:50 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['two steps from hell star sky'])
(CET) 26/03/2023 01:25:50 | 1008145667622969397 | play_def -> ['two steps from hell star sky', False]
(CET) 26/03/2023 01:25:50 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:25:51 | 1008145667622969397 | queue_command_def -> ['two steps from hell star sky', None, True, False, True]
(CET) 26/03/2023 01:25:51 | 1008145667622969397 | search_command_def -> ['two steps from hell star sky', 'short', False, True]
(CET) 26/03/2023 01:25:54 | all | Updated guilds.json
(CET) 26/03/2023 01:25:54 | all | Updated guilds.json
(CET) 26/03/2023 01:25:59 | 1008145667622969397 | play_def -> ['next', False]
(CET) 26/03/2023 01:25:59 | 1008145667622969397 | stopped
(CET) 26/03/2023 01:28:34 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:28:34 | no guild | Loaded radio.json
(CET) 26/03/2023 01:28:34 | no guild | Loaded languages.json
(CET) 26/03/2023 01:28:34 | no guild | Loaded other.json
(CET) 26/03/2023 01:28:34 | no guild | Bot class initialized
(CET) 26/03/2023 01:28:34 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:28:34 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:28:37 | no guild | Trying to sync commands
(CET) 26/03/2023 01:28:38 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:28:38 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:28:44 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['two steps from hell star sky'])
(CET) 26/03/2023 01:28:44 | 1008145667622969397 | play_def -> ['two steps from hell star sky', False]
(CET) 26/03/2023 01:28:44 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:28:44 | 1008145667622969397 | queue_command_def -> ['two steps from hell star sky', None, True, False, True]
(CET) 26/03/2023 01:28:45 | 1008145667622969397 | search_command_def -> ['two steps from hell star sky', 'short', False, True]
(CET) 26/03/2023 01:28:47 | all | Updated guilds.json
(CET) 26/03/2023 01:28:47 | all | Updated guilds.json
(CET) 26/03/2023 01:28:50 | 1008145667622969397 | play_def -> [None, False]
(CET) 26/03/2023 01:28:52 | 1008145667622969397 | volume_command_def -> [100.0, False, True]
(CET) 26/03/2023 01:28:52 | all | Updated guilds.json
(CET) 26/03/2023 01:28:52 | all | Updated guilds.json
(CET) 26/03/2023 01:31:32 | 1008145667622969397 | play_def -> ['next', False]
(CET) 26/03/2023 01:31:32 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:31:52 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:31:52 | no guild | Loaded radio.json
(CET) 26/03/2023 01:31:52 | no guild | Loaded languages.json
(CET) 26/03/2023 01:31:52 | no guild | Loaded other.json
(CET) 26/03/2023 01:31:52 | no guild | Bot class initialized
(CET) 26/03/2023 01:31:52 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:31:52 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:31:55 | no guild | Trying to sync commands
(CET) 26/03/2023 01:31:55 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:31:55 | no guild | Logged in as:
Testing Bot
1009574748302356581
